Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
530825,Daikaffil Chemicals India Ltd,Mikusu India Private Limited,Promoter,Equity Shares,2934152,48.90,Equity Shares,1817,74611.00,Acquisition,Equity,2935969,48.93,09 Jun 2026,09 Jun 2026,11 Jun 2026,Market Purchase,,,,,,,BSE,11 Jun 2026
531449,GRM Overseas Ltd,Atul Garg,Promoter & Director,Equity Shares,42492067,20.50,Equity Shares,150000,18299025.00,Acquisition,Equity,42642067,20.58,08 Jun 2026,08 Jun 2026,09 Jun 2026,Market Purchase,,,,,,,NSE,11 Jun 2026
537785,Race Eco Chain Ltd,Sushant Behl,Immediate Relative,Equity Shares,0,0.00,Equity Shares,14500,1595000.00,Acquisition,Equity,14500,0.08,10 Jun 2026,10 Jun 2026,10 Jun 2026,Market Purchase,,,,,,,NSE,11 Jun 2026
537785,Race Eco Chain Ltd,Manasvi Behl,Immediate Relative,Equity Shares,0,0.00,Equity Shares,12000,1320000.00,Acquisition,Equity,12000,0.06,10 Jun 2026,10 Jun 2026,10 Jun 2026,Market Purchase,,,,,,,NSE,11 Jun 2026
502168,NCL Industries Ltd-$,Kalidindi Ravi,Promoter & Director,Equity Shares,3151830,6.97,Equity Shares,4873,896388.00,Acquisition,Equity,3156703,6.98,10 Jun 2026,10 Jun 2026,11 Jun 2026,Market Purchase,,,,,,,NSE,11 Jun 2026
502168,NCL Industries Ltd-$,Subba Raju Bhupathiraju,Promoter Group,Equity Shares,300588,0.66,Equity Shares,40983,7500000.00,Disposal,Equity,259605,0.57,09 Jun 2026,09 Jun 2026,10 Jun 2026,Inter-se Transfer,,,,,,,NA,11 Jun 2026
532980,Gokul Refoils & Solvent Ltd,Bhikhiben Balvantsinh Rajput,Promoter,Equity Shares,22722400,22.95,Equity Shares,3000,123020.00,Acquisition,Equity,22725400,22.96,10 Jun 2026,10 Jun 2026,11 Jun 2026,Market Purchase,,,,,,,NSE,11 Jun 2026
532980,Gokul Refoils & Solvent Ltd,Bhikhiben Balvantsinh Rajput,Promoter,Equity Shares,22721400,22.96,Equity Shares,1000,41123.00,Acquisition,Equity,22722400,22.95,10 Jun 2026,10 Jun 2026,11 Jun 2026,Market Purchase,,,,,,,BSE,11 Jun 2026
537785,Race Eco Chain Ltd,Manasvi Behl,Immediate Relative,Equity Shares,0,0.00,Equity Shares,12000,1320000.00,Acquisition,Equity,12000,0.06,10 Jun 2026,10 Jun 2026,10 Jun 2026,Market Purchase,,,,,,,NSE,11 Jun 2026
537785,Race Eco Chain Ltd,Sushant Behl,Immediate Relative,Equity Shares,0,0.00,Equity Shares,14500,1595000.00,Acquisition,Equity,14500,0.08,10 Jun 2026,10 Jun 2026,10 Jun 2026,Market Purchase,,,,,,,NSE,11 Jun 2026
